2ndFlrSF,BsmtFinSF1,GarageArea,OverallQual,TotalBsmtSF
0.0,48,774,9,1822
0.0,0,308,5,894
0.0,713,432,5,876
0.0,1218,857,8,1568
0.0,0,843,7,1541
0.0,410,400,7,1221
0.0,643,440,6,1088
720.0,604,484,7,696
462.0,462,297,4,462
349.0,375,440,6,735
896.0,0,397,7,746
0.0,20,460,6,1362
788.0,0,442,6,756
0.0,0,451,6,1367
,144,528,5,924
0.0,680,588,5,1360
728.0,0,400,7,728
0.0,611,497,7,1188
0.0,0,625,5,0
612.0,294,528,6,612
752.0,0,468,7,952
406.0,241,384,5,861
557.0,0,297,5,803
0.0,697,420,6,848
780.0,871,749,8,1482
0.0,836,396,4,836
0.0,0,398,7,1375
924.0,319,396,6,735
110.0,0,0,6,901
0.0,1158,499,8,1501
0.0,0,308,6,1012
998.0,523,672,7,824
,0,672,5,360
872.0,738,650,7,1057
0.0,483,576,5,911
0.0,1260,765,9,1838
0.0,728,924,6,1296
0.0,1148,672,5,1148
0.0,412,280,5,950
846.0,380,471,8,777
720.0,300,440,6,1065
0.0,0,440,7,1316
0.0,0,615,6,1442
0.0,734,500,5,1078
0.0,932,544,4,1040
640.0,353,527,8,408
682.0,0,240,7,651
0.0,354,280,5,1056
0.0,1567,874,9,1792
,897,402,6,1216
764.0,0,576,7,596
1112.0,0,434,7,847
,767,546,6,1208
650.0,460,315,5,874
358.0,735,240,4,796
0.0,0,420,5,0
0.0,0,273,5,190
0.0,943,600,5,943
902.0,400,603,7,866
1177.0,0,779,9,1393
0.0,456,275,5,912
0.0,0,308,5,0
0.0,266,511,6,1405
0.0,1386,850,10,2076
1203.0,56,752,8,1318
787.0,569,240,5,731
0.0,1573,538,8,1573
700.0,697,389,6,1444
,0,880,10,1237
728.0,0,477,6,585
0.0,1400,541,7,1525
0.0,0,722,8,1571
0.0,0,0,5,796
994.0,0,432,5,994
670.0,0,402,7,384
0.0,648,364,4,648
1104.0,0,372,5,732
0.0,663,484,6,1040
574.0,0,694,9,2153
455.0,0,200,5,676
1000.0,0,400,5,960
0.0,25,336,5,1144
0.0,1056,576,6,1056
0.0,0,0,4,693
0.0,1200,576,6,1479
0.0,1373,482,8,1594
0.0,390,352,5,864
0.0,1078,750,8,1566
660.0,593,497,6,723
0.0,152,539,4,780
574.0,0,180,5,939
408.0,425,560,6,884
0.0,763,386,5,955
0.0,0,210,3,1007
0.0,1056,572,5,1056
797.0,0,615,7,756
0.0,20,865,7,1614
0.0,0,1390,8,2042
0.0,0,326,5,1073
213.0,336,240,5,672
0.0,865,550,6,1205
0.0,348,0,4,528
0.0,179,300,5,1150
728.0,0,400,6,728
0.0,867,588,7,944
750.0,0,564,6,750
0.0,841,375,5,1165
729.0,759,398,6,839
1054.0,936,836,9,1104
0.0,0,573,7,1560
,386,312,5,728
0.0,515,286,4,630
0.0,751,504,6,1143
1101.0,0,947,7,1063
550.0,0,384,4,560
1426.0,64,550,8,1184
932.0,0,936,7,1026
0.0,0,898,8,1468
432.0,0,539,5,0
432.0,352,240,5,768
438.0,812,438,7,1092
795.0,0,440,4,795
0.0,0,240,6,1064
0.0,521,624,5,864
0.0,213,440,7,1208
504.0,162,264,6,483
1281.0,965,628,7,1210
600.0,765,440,5,765
1141.0,0,779,8,1128
1347.0,0,840,9,1249
0.0,288,352,4,907
,566,440,6,855
0.0,803,540,5,1106
0.0,322,684,4,858
0.0,1880,516,7,2223
0.0,0,672,4,1005
809.0,0,409,7,712
0.0,906,384,5,1040
0.0,697,461,5,1268
887.0,0,578,7,874
0.0,539,888,6,1012
0.0,226,439,7,1385
0.0,0,480,6,1436
0.0,1696,839,8,2109
0.0,788,544,7,1573
0.0,2188,820,9,2330
977.0,739,645,7,1057
0.0,1003,431,6,1291
0.0,696,0,5,858
560.0,204,280,6,560
0.0,290,246,2,290
728.0,209,440,6,672
0.0,0,240,5,920
0.0,564,645,6,1127
0.0,459,525,6,547
0.0,0,0,5,0
689.0,0,441,6,844
1254.0,428,380,8,965
912.0,0,0,6,912
868.0,742,422,6,872
0.0,595,576,5,912
0.0,783,600,6,1461
448.0,264,216,6,976
0.0,28,397,6,1316
0.0,489,450,5,768
378.0,312,240,5,756
0.0,63,865,8,1623
660.0,0,400,7,660
966.0,249,538,5,1013
0.0,776,525,5,1120
0.0,860,756,5,992
546.0,0,0,4,546
978.0,0,704,7,718
0.0,220,576,5,845
1039.0,0,668,6,894
546.0,356,264,6,672
808.0,0,534,7,808
870.0,1079,556,8,1220
0.0,998,487,5,1484
0.0,0,506,5,1656
406.0,468,210,6,818
1032.0,695,390,6,992
0.0,0,576,7,832
546.0,334,286,4,546
0.0,196,252,5,1268
834.0,385,550,7,799
0.0,370,502,8,1657
0.0,994,508,6,1478
0.0,0,306,6,932
0.0,778,526,7,1277
0.0,1300,630,7,1530
0.0,457,484,5,1024
0.0,672,528,5,840
0.0,904,626,7,1314
571.0,464,868,7,1391
702.0,724,388,7,788
0.0,662,420,6,848
0.0,0,240,5,672
1152.0,275,252,7,1152
704.0,0,180,5,660
754.0,626,484,7,725
0.0,0,740,7,1226
1111.0,568,444,6,832
0.0,941,576,6,1158
0.0,740,480,5,1154
844.0,0,527,7,880
885.0,219,431,6,773
0.0,0,520,4,0
521.0,0,300,5,816
1479.0,192,1014,8,728
504.0,309,264,6,483
547.0,351,0,5,644
0.0,425,505,7,585
,549,440,7,744
0.0,1350,908,8,1976
0.0,33,758,8,1563
539.0,0,288,7,572
651.0,0,270,7,776
0.0,0,452,3,0
880.0,1410,706,9,1848
672.0,231,264,5,630
192.0,1258,586,7,1332
468.0,0,680,4,0
0.0,0,430,5,1125
600.0,0,480,7,600
842.0,0,520,6,798
904.0,1000,525,7,1223
0.0,680,240,6,972
878.0,584,466,8,1128
,739,596,5,1144
0.0,300,288,5,1062
0.0,234,484,5,926
838.0,956,592,8,1086
0.0,1040,240,5,1164
0.0,852,840,5,952
1215.0,259,0,8,684
0.0,808,540,6,880
691.0,0,672,6,482
0.0,578,480,6,1004
456.0,384,305,4,747
0.0,645,495,5,915
0.0,405,440,5,1145
0.0,1082,445,7,1453
0.0,1358,670,8,1581
0.0,0,825,8,1588
0.0,513,264,6,588
0.0,915,368,5,1050
0.0,520,432,4,960
454.0,0,280,5,810
0.0,0,462,6,1489
0.0,1126,786,7,1726
720.0,0,484,7,1362
0.0,1053,484,7,1309
1140.0,781,1069,8,1284
984.0,0,660,7,879
0.0,656,396,5,768
0.0,0,0,1,0
0.0,892,384,6,1136
0.0,1201,405,6,1237
0.0,312,288,5,912
936.0,540,264,5,864
720.0,378,240,5,720
526.0,0,0,5,658
925.0,0,308,7,925
0.0,405,624,5,1063
0.0,588,576,6,1422
0.0,0,576,5,1632
0.0,0,451,7,1630
0.0,0,0,3,1013
0.0,0,420,4,0
806.0,0,216,6,806
653.0,622,576,4,1122
0.0,1285,418,6,1416
1092.0,0,868,8,1482
764.0,0,520,6,764
