GarageArea,GarageYrBlt,GrLivArea,OverallQual,TotalBsmtSF
774,2007.0,1828,9,1822
308,1962.0,894,5,894
432,1921.0,964,5,876
857,2002.0,1689,8,1568
843,2001.0,1541,7,1541
400,2004.0,1221,7,1221
440,1965.0,1324,6,1088
484,1999.0,1416,7,696
297,1973.0,988,4,462
440,2003.0,1218,6,735
397,2003.0,1656,7,746
460,2005.0,1362,6,1362
442,1966.0,1839,6,756
451,1954.0,1375,6,1367
528,1948.0,1122,5,924
588,1978.0,1432,5,1360
400,2007.0,1456,7,728
497,1990.0,1217,7,1188
625,1950.0,1040,5,0
528,2009.0,1224,6,612
468,1931.0,1774,7,952
384,1978.0,1367,5,861
297,1951.0,1360,5,803
420,2004.0,848,6,848
749,2003.0,2262,8,1482
396,1951.0,1220,4,836
398,2004.0,1414,7,1375
396,1950.0,2058,6,735
0,,1198,6,901
499,2000.0,1659,8,1501
308,1920.0,1012,6,1012
672,1970.0,3082,7,824
672,1999.0,1812,5,360
650,2001.0,1929,7,1057
576,1976.0,954,5,911
765,2006.0,1838,9,1838
924,1993.0,1640,6,1296
672,1959.0,1148,5,1148
280,1981.0,950,5,950
471,1993.0,1911,8,777
440,1950.0,1635,6,1065
440,2007.0,1316,7,1316
615,1970.0,1442,6,1442
500,1971.0,1078,5,1078
544,1961.0,1120,4,1040
527,2002.0,1419,8,408
240,1947.0,1389,7,651
280,1954.0,1063,5,1056
874,2003.0,1792,9,1792
402,1998.0,1216,6,1216
576,1989.0,1762,7,596
434,2004.0,1959,7,847
546,1977.0,1208,6,1208
315,1958.0,1524,5,874
240,1922.0,1154,4,796
420,1950.0,1048,5,0
273,1938.0,886,5,190
600,1979.0,943,5,943
603,2005.0,1768,7,866
779,1999.0,2599,9,1393
275,1958.0,912,5,912
308,1956.0,882,5,0
511,1998.0,1337,6,1405
850,2006.0,2076,10,2076
752,1995.0,2531,8,1318
240,1939.0,1768,5,731
538,2006.0,1625,8,1573
389,1958.0,2144,6,1444
880,1988.0,2775,10,1237
477,1984.0,1868,6,585
541,2000.0,1525,7,1525
722,2007.0,1571,8,1571
0,,796,5,796
432,1985.0,2372,5,994
402,1991.0,1472,7,384
364,1965.0,960,4,648
372,2005.0,1838,5,732
484,1974.0,1309,6,1040
694,2006.0,2643,9,2153
200,1941.0,1131,5,676
400,1952.0,1960,5,960
336,1962.0,1144,5,1144
576,1980.0,1056,6,1056
0,,693,4,693
576,1997.0,1494,6,1479
482,2004.0,1646,8,1594
352,1989.0,864,5,864
750,2008.0,1566,8,1566
497,1972.0,1395,6,723
539,1962.0,1208,4,780
180,1933.0,1513,5,939
560,1978.0,1367,6,884
386,1966.0,955,5,955
210,1922.0,1077,3,1007
572,1955.0,1056,5,1056
615,2005.0,1553,7,756
865,2005.0,1614,7,1614
1390,2009.0,2042,8,2042
326,1968.0,1073,5,1073
240,1948.0,1285,5,672
550,1970.0,2117,6,1205
0,,605,4,528
300,1959.0,1150,5,1150
400,2005.0,1456,6,728
588,1961.0,999,7,944
564,2005.0,1500,6,750
375,1953.0,1336,5,1165
398,2004.0,1593,6,839
836,2008.0,2184,9,1104
573,2003.0,1560,7,1560
312,1942.0,1644,5,728
286,1970.0,630,4,630
504,1987.0,1113,6,1143
947,2006.0,2172,7,1063
384,1950.0,1346,4,560
550,2007.0,2610,8,1184
936,2005.0,1958,7,1026
898,2008.0,1468,8,1468
539,1977.0,1734,5,0
240,1946.0,1200,5,768
438,2007.0,1550,7,1092
440,1997.0,2230,4,795
240,1936.0,1639,6,1064
624,1964.0,864,5,864
440,1984.0,1621,7,1208
264,1972.0,987,6,483
628,1989.0,2519,7,1210
440,1970.0,1365,5,765
779,2002.0,2290,8,1128
840,2006.0,2596,9,1249
352,1964.0,907,4,907
440,1976.0,1456,6,855
540,1962.0,1190,5,1106
684,1979.0,858,4,858
516,1973.0,2223,7,2223
672,1977.0,1005,4,1005
409,1994.0,1895,7,712
384,1965.0,1040,5,1040
461,1960.0,1264,5,1268
578,2007.0,1761,7,874
888,1976.0,1034,6,1012
439,1954.0,1363,7,1385
480,1956.0,1689,6,1436
839,1995.0,2113,8,2109
544,2002.0,1573,7,1573
820,2009.0,2364,9,2330
645,1998.0,2034,7,1057
431,1996.0,1291,6,1291
0,,858,5,858
280,1939.0,1258,6,560
246,1930.0,438,2,290
440,1978.0,1400,6,672
240,1938.0,954,5,920
645,1964.0,1445,6,1127
525,2005.0,1072,6,547
0,,1664,5,0
441,1930.0,2134,6,844
380,1934.0,3194,8,965
0,,1824,6,912
422,1996.0,1756,6,872
576,1992.0,912,5,912
600,1988.0,1509,6,1461
216,1925.0,1608,6,976
397,2005.0,1316,6,1316
450,1925.0,1015,5,768
240,1940.0,1134,5,756
865,2006.0,1636,8,1623
400,2003.0,1320,7,660
538,1967.0,2126,5,1013
525,1963.0,1128,5,1120
756,1968.0,1306,5,992
0,,1344,4,546
704,1996.0,2554,7,718
576,1985.0,893,5,845
668,2007.0,1933,6,894
264,1973.0,1218,6,672
534,1977.0,1969,7,808
556,1995.0,2090,8,1220
487,1971.0,1484,5,1484
506,1973.0,1656,5,1656
210,1926.0,1224,6,818
390,2000.0,2054,6,992
576,1991.0,854,7,832
286,1973.0,1092,4,546
252,1978.0,1268,5,1268
550,1996.0,1661,7,799
502,2003.0,1668,8,1657
508,1997.0,1493,6,1478
306,1950.0,932,6,932
526,1970.0,1277,7,1277
630,2004.0,1530,7,1530
484,1970.0,1344,5,1024
528,1996.0,860,5,840
626,2008.0,1314,7,1314
868,2006.0,1962,7,1391
388,2004.0,1490,7,788
420,2004.0,848,6,848
240,1940.0,672,5,672
252,1941.0,2340,7,1152
180,1916.0,1656,5,660
484,1972.0,1479,7,725
740,2009.0,1226,7,1226
444,1966.0,2087,6,832
576,2006.0,1158,6,1158
480,1966.0,1154,5,1154
527,1998.0,1724,7,880
431,1995.0,1658,6,773
520,2002.0,1126,4,0
300,1955.0,1393,5,816
1014,1982.0,3447,8,728
264,1973.0,987,6,483
0,,1355,5,644
505,1960.0,2069,7,585
440,1999.0,1501,7,744
908,2006.0,1976,8,1976
758,2007.0,1563,8,1563
288,1982.0,1111,7,572
270,1931.0,1502,7,776
452,1955.0,1733,3,0
706,2006.0,2728,9,1848
264,1972.0,1302,5,630
586,1979.0,1524,7,1332
680,1991.0,1588,4,0
430,2007.0,1125,5,1125
480,2005.0,1200,7,600
520,2004.0,1640,6,798
525,1994.0,2127,7,1223
240,1948.0,972,6,972
466,1995.0,2020,8,1128
596,1956.0,1144,5,1144
288,1958.0,1352,5,1062
484,1974.0,1316,5,926
592,1998.0,1924,8,1086
240,1950.0,1164,5,1164
840,1988.0,952,5,952
0,,2358,8,684
540,1988.0,1680,6,880
672,2003.0,1912,6,482
480,1970.0,1004,6,1004
305,1946.0,1230,4,747
495,1972.0,1167,5,915
440,1965.0,1301,5,1145
445,1986.0,1453,7,1453
670,2001.0,1601,8,1581
825,2006.0,1588,8,1588
264,1958.0,1095,6,588
368,1961.0,1050,5,1050
432,1965.0,960,4,960
280,1954.0,1456,5,810
462,1968.0,1489,6,1489
786,2007.0,1726,7,1726
484,2003.0,2082,7,1362
484,1990.0,1339,7,1309
1069,1998.0,2450,8,1284
660,2006.0,1863,7,879
396,1988.0,768,5,768
0,,334,1,0
384,1965.0,1136,6,1136
405,1998.0,1337,6,1237
288,1964.0,912,5,912
264,1962.0,1812,5,864
240,1939.0,2192,5,720
0,,1184,5,658
308,1960.0,1889,7,925
624,1974.0,1327,5,1063
576,1981.0,1422,6,1422
576,1967.0,1632,5,1632
451,2000.0,1630,7,1630
0,,1526,3,1013
420,1956.0,1040,4,0
216,1920.0,1647,6,806
576,1981.0,1981,4,1122
418,1953.0,1644,6,1416
868,2007.0,2574,8,1482
520,1940.0,1824,6,764
520,1964.0,1350,6,1248
440,1976.0,958,6,958
370,1922.0,1848,6,833
490,1993.0,1620,4,1281
400,1992.0,1167,6,1158
220,1949.0,1487,6,735
288,1967.0,892,5,892
240,1940.0,804,5,788
0,,1140,5,1140
483,1963.0,1796,6,780
551,1976.0,2030,6,848
812,2008.0,2007,10,1017
216,1920.0,691,5,691
676,2008.0,1590,8,768
325,1954.0,1855,6,994
442,1999.0,1804,7,994
543,2003.0,1768,7,884
807,1995.0,3627,10,1930
403,1985.0,1298,6,1298
484,1959.0,1801,7,1501
0,,630,5,630
440,1976.0,1103,6,1103
384,1964.0,1178,4,859
440,1957.0,1196,4,1196
529,2008.0,1372,7,1372
